City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
120,Rexburg,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
125,Caravelas,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
126,Virginia Beach,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
127,Kodiak,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
130,Sioux Lookout,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
132,Garden City,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
133,Sharjah,AE,92.03,overcast clouds,25.3573,55.4033,Swiss Belhotel Sharjah
134,Mahebourg,MU,67.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
135,Fairbanks,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
136,Mogok,MM,66.6,overcast clouds,22.9167,96.5,MOGOK HILL HOTEL
137,Harper,LR,75.54,light rain,4.375,-7.7169,Screensaver
139,Thompson,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
142,Rio Grande,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
143,Inuvik,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
144,Kashi,CN,79.34,clear sky,39.4547,75.9797,帕米尔青年旅舍
145,Tiarei,PF,73.65,moderate rain,-23.1203,-134.9692,People ThankYou
146,Sigli,ID,74.01,overcast clouds,-5.1241,120.253,Wisma Sandika
147,Hasaki,JP,78.06,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
148,Maryville,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
150,Auki,SB,81.59,scattered clouds,-8.103,156.8419,Imagination Island
151,Cidreira,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
152,Goderich,CA,80.91,overcast clouds,43.7501,-81.7165,Harmony Inn
153,Ayagoz,KZ,64.2,clear sky,47.9714,80.4392,ХАН
154,Bandarbeyla,SO,76.32,clear sky,9.4942,50.8122,JABIR HOTEL
155,Hithadhoo,MV,77.36,overcast clouds,-0.6,73.0833,Scoop Guest House
157,Nkhotakota,MW,67.33,broken clouds,-12.9274,34.2961,Sitima Inn
159,Guerrero Negro,MX,95.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
160,Kahului,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
161,Nisia Floresta,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
162,Saint-Augustin,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
163,Greensburg,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
167,Porto Santo,PT,67.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
168,Mecca,SA,91.54,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
169,Nador,MA,79.05,clear sky,35.174,-2.9287,Hôtel La Giralda
170,Marawi,SD,77.81,overcast clouds,12.35,29.25,حامد محمد نور
171,Kavaratti,IN,77.59,broken clouds,19.2,84.6167,Chikiti kalyan mandap
172,Fort Morgan,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
173,Ocean City,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
174,Fort-Shevchenko,KZ,64.2,clear sky,47.9714,80.4392,ХАН
175,Marv Dasht,IR,79.88,clear sky,37.4727,49.4622,هتل بیاچ
176,Mentok,ID,74.01,overcast clouds,-5.1241,120.253,Wisma Sandika
178,Yola,NG,71.74,overcast clouds,9.2,12.4833,Muna Hotel
180,Bengkulu,ID,74.01,overcast clouds,-5.1241,120.253,Wisma Sandika
181,Swift Current,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
182,Zhezkazgan,KZ,64.2,clear sky,47.9714,80.4392,ХАН
183,Shimoda,JP,78.06,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
