City_ID,City,Country,Date,Lat,Lng,Temp,Min Temp,Max Temp,Current Description,Current Details,Humidity,Cloudiness,Wind Speed
48,Grand-Santi,GF,2022-07-15 04:25:30,4.25,-54.3833,72.07,72.07,72.07,Clouds,overcast clouds,99,100,1.97
49,Rawson,AR,2022-07-15 04:20:53,-43.3002,-65.1023,42.22,42.22,42.22,Rain,light rain,85,100,19.86
50,Chuy,UY,2022-07-15 04:25:30,-33.6971,-53.4616,60.35,60.35,60.35,Clouds,overcast clouds,96,100,9.31
51,Zabol,AF,2022-07-15 04:25:31,32.25,67.25,78.51,78.51,78.51,Clear,clear sky,41,0,8.77
52,Mehamn,NO,2022-07-15 04:25:31,71.0357,27.8492,55.35,55.35,57.11,Clouds,broken clouds,94,75,4.61
53,Hofn,IS,2022-07-15 04:25:32,64.2539,-15.2082,49.53,49.53,49.53,Clear,clear sky,68,6,5.08
54,Pevek,RU,2022-07-15 04:25:32,69.7008,170.3133,32.86,32.86,32.86,Clouds,few clouds,84,22,12.41
55,Fortuna,US,2022-07-15 04:21:18,40.5982,-124.1573,58.37,57.54,58.93,Clouds,scattered clouds,81,28,3.0
56,Uruzgan,AF,2022-07-15 04:25:33,32.8333,66.0,83.79,83.79,83.79,Clear,clear sky,12,0,1.21
57,Kudahuvadhoo,MV,2022-07-15 04:25:33,2.6708,72.8944,83.14,83.14,83.14,Clouds,overcast clouds,74,88,9.46
58,Vaini,TO,2022-07-15 04:25:34,-21.2,-175.2,78.96,78.96,78.96,Clouds,scattered clouds,94,40,6.91
59,Chokurdakh,RU,2022-07-15 04:25:34,70.6333,147.9167,68.65,68.65,68.65,Clouds,overcast clouds,45,100,10.92
60,Batemans Bay,AU,2022-07-15 04:25:35,-35.7167,150.1833,56.1,56.1,56.1,Clear,clear sky,42,0,4.14
61,Hithadhoo,MV,2022-07-15 04:25:35,-0.6,73.0833,83.68,83.68,83.68,Clouds,broken clouds,73,71,13.06
62,Shiraoi,JP,2022-07-15 04:25:36,42.55,141.35,75.45,75.38,77.2,Clouds,overcast clouds,92,100,17.02
63,Kumba,CM,2022-07-15 04:25:36,4.6363,9.4469,69.12,69.12,69.12,Clouds,overcast clouds,98,85,1.59
64,Chiriqui Grande,PA,2022-07-15 04:25:37,8.95,-82.1167,76.87,76.87,76.87,Clouds,scattered clouds,92,31,2.95
65,Komsomolskiy,UZ,2022-07-15 04:25:37,40.4272,71.7189,86.72,86.72,86.72,Clear,clear sky,26,0,4.61
66,Hilo,US,2022-07-15 04:21:58,19.7297,-155.09,77.38,75.61,79.29,Rain,light rain,85,75,6.91
67,Huangmei,CN,2022-07-15 04:25:38,30.1924,116.025,97.16,97.16,97.16,Clouds,overcast clouds,49,100,5.21
68,Bethel,US,2022-07-15 04:22:01,41.3712,-73.414,66.81,61.3,73.71,Clear,clear sky,79,0,4.61
69,Bluff,NZ,2022-07-15 04:25:38,-46.6,168.3333,45.81,45.81,45.81,Clouds,overcast clouds,69,100,15.57
70,Mar Del Plata,AR,2022-07-15 04:25:39,-38.0023,-57.5575,54.1,50.88,55.09,Rain,light rain,97,100,1.01
71,Trofors,NO,2022-07-15 04:25:39,65.5333,13.4063,49.87,49.87,49.87,Rain,light rain,94,100,5.19
72,Guerrero Negro,MX,2022-07-15 04:25:40,27.9769,-114.0611,66.67,66.67,66.67,Clear,clear sky,85,5,14.47
73,Bengkulu,ID,2022-07-15 04:25:40,-3.8004,102.2655,83.89,83.89,83.89,Clouds,overcast clouds,68,95,2.13
74,Sandpoint,US,2022-07-15 04:24:03,48.2766,-116.5533,66.65,63.68,69.42,Clear,clear sky,64,0,0.0
75,Nyurba,RU,2022-07-15 04:25:41,63.2842,118.3319,78.19,78.19,78.19,Clouds,overcast clouds,55,100,7.05
76,Zuenoula,CI,2022-07-15 04:25:41,7.4292,-6.0431,71.1,71.1,71.1,Clouds,overcast clouds,97,100,5.1
77,Namuac,PH,2022-07-15 04:25:41,18.6109,121.1657,88.81,88.81,88.81,Clouds,scattered clouds,65,27,7.81
78,Katangli,RU,2022-07-15 04:25:42,51.7102,143.2326,59.81,59.81,59.81,Clouds,scattered clouds,76,33,15.3
79,Lhokseumawe,ID,2022-07-15 04:25:42,5.1801,97.1507,86.43,86.43,86.43,Clouds,overcast clouds,56,89,2.91
80,Ygatimi,PY,2022-07-15 04:25:43,-24.0833,-55.5,77.36,77.36,77.36,Clouds,broken clouds,30,76,7.38
81,Yulara,AU,2022-07-15 04:25:43,-25.2406,130.9889,63.1,63.1,63.1,Clear,clear sky,16,2,4.72
82,Podgornoye,RU,2022-07-15 04:25:44,51.735,39.1496,62.82,62.82,62.82,Clear,clear sky,82,0,6.71
83,Lamu,KE,2022-07-15 04:25:44,-2.2717,40.902,73.62,73.62,73.62,Rain,moderate rain,87,55,12.12
84,Xuddur,SO,2022-07-15 04:25:45,4.1213,43.8894,72.14,72.14,72.14,Clouds,overcast clouds,76,96,22.01
85,Hermanus,ZA,2022-07-15 04:25:45,-34.4187,19.2345,49.8,49.8,49.8,Clouds,scattered clouds,83,29,7.78
86,Namibe,AO,2022-07-15 04:25:46,-15.1961,12.1522,66.38,66.38,66.38,Clear,clear sky,74,4,3.13
87,Asau,RO,2022-07-15 04:25:46,46.4333,26.4,63.52,63.28,63.52,Clouds,few clouds,61,18,5.39
88,Esperance,AU,2022-07-15 04:25:46,-33.8667,121.9,64.24,64.24,64.24,Clouds,broken clouds,62,62,25.37
89,Steinbach,DE,2022-07-15 04:25:47,50.1667,8.5667,56.55,51.62,60.31,Clear,clear sky,72,0,4.61
90,Yekaterinovka,RU,2022-07-15 04:25:47,52.0508,44.3451,58.62,58.62,58.62,Clouds,few clouds,89,18,14.45
91,Talnakh,RU,2022-07-15 04:25:48,69.4865,88.3972,63.21,63.21,63.21,Clouds,overcast clouds,50,97,3.38
92,Zhigalovo,RU,2022-07-15 04:25:48,54.8097,105.1578,59.97,59.97,59.97,Clouds,overcast clouds,81,100,1.57
93,Comodoro Rivadavia,AR,2022-07-15 04:25:49,-45.8667,-67.5,35.46,35.46,35.46,Drizzle,light intensity drizzle rain,93,75,11.5
94,Cape Town,ZA,2022-07-15 04:21:31,-33.9258,18.4232,52.83,48.34,55.9,Fog,fog,85,15,8.01
95,Egvekinot,RU,2022-07-15 04:25:50,66.3167,-179.1667,48.4,48.4,48.4,Clouds,scattered clouds,53,33,1.34
96,Nurota,UZ,2022-07-15 04:25:50,40.5614,65.6886,85.95,85.95,85.95,Clear,clear sky,17,0,13.58
97,Kabin Buri,TH,2022-07-15 04:25:51,13.9511,101.7177,86.04,86.04,86.04,Rain,light rain,72,92,7.45
98,Rocha,UY,2022-07-15 04:25:51,-34.4833,-54.3333,57.76,57.76,57.76,Clouds,overcast clouds,99,100,6.33
99,Avarua,CK,2022-07-15 04:25:51,-21.2078,-159.775,75.25,75.25,75.25,Clouds,scattered clouds,69,40,8.05
100,Arlit,NE,2022-07-15 04:25:52,18.7369,7.3853,87.89,87.89,87.89,Clear,clear sky,14,10,7.0
101,Severo-Yeniseyskiy,RU,2022-07-15 04:20:53,60.3725,93.0408,46.31,46.31,46.31,Rain,light rain,94,100,2.82
102,Severodvinsk,RU,2022-07-15 04:25:52,64.5635,39.8302,69.91,69.12,69.91,Clouds,few clouds,70,23,6.08
103,Ta Khmau,KH,2022-07-15 04:25:53,11.4833,104.95,86.05,86.05,86.05,Clouds,scattered clouds,70,40,9.22
104,Port Alfred,ZA,2022-07-15 04:25:53,-33.5906,26.891,55.54,55.54,55.54,Clear,clear sky,82,1,9.53
105,Jyvaskyla,FI,2022-07-15 04:25:53,62.2415,25.7209,54.46,53.94,56.12,Clouds,few clouds,85,20,8.05
106,Sao Desiderio,BR,2022-07-15 04:25:54,-12.3633,-44.9733,68.22,68.22,68.22,Clouds,broken clouds,52,52,5.35
107,Erzin,TR,2022-07-15 04:25:54,36.9559,36.2,75.88,75.88,75.88,Clear,clear sky,80,8,2.57
108,Provideniya,RU,2022-07-15 04:25:55,64.3833,-173.3,55.51,55.36,55.51,Clear,clear sky,67,0,13.42
109,Codrington,AU,2022-07-15 04:25:55,-38.2667,141.9667,54.77,54.77,54.77,Clouds,overcast clouds,70,100,10.16
110,The Valley,AI,2022-07-15 04:25:56,18.217,-63.0578,82.26,81.82,82.26,Clear,clear sky,82,10,23.55
111,Cidreira,BR,2022-07-15 04:25:56,-30.1811,-50.2056,61.0,61.0,61.0,Clouds,overcast clouds,96,100,14.99
112,Northam,GB,2022-07-15 04:25:57,51.0333,-4.2167,49.24,49.24,49.24,Clear,clear sky,82,6,2.1
113,Albany,US,2022-07-15 04:25:57,42.6001,-73.9662,60.39,57.24,63.36,Clear,clear sky,86,1,4.56
114,Tiksi,RU,2022-07-15 04:25:58,71.6872,128.8694,54.19,54.19,54.19,Clouds,scattered clouds,63,39,18.43
